version,scope,model,contrast,family,F,S,U,records
original,all13,Devstral,C-I,X24,0.0,0.0,0.0,R0403;R0404;R0405;R0406
original,all13,Devstral,C-I,X28,0.0,-0.5,0.5,R0411;R0412;R0413;R0414
original,omitX06,GPT55,C-N,F01,0.0,-0.5,0.5,R0003;R0004;R0007;R0008
original,omitX06,GPT55,C-N,F02,0.0,0.0,0.0,R0011;R0012;R0015;R0016
original,omitX06,GPT55,C-N,F04,0.0,0.5,-0.5,R0019;R0020;R0023;R0024
original,omitX06,GPT55,C-N,F08,0.0,1.0,-1.0,R0027;R0028;R0031;R0032
original,omitX06,GPT55,C-N,F17,0.0,0.0,0.0,R0035;R0036;R0039;R0040
original,omitX06,GPT55,C-N,F20,0.0,0.0,0.0,R0043;R0044;R0047;R0048
original,omitX06,GPT55,C-N,X05,0.0,0.0,0.0,R0059;R0060;R0063;R0064
original,omitX06,GPT55,C-N,X11,0.0,-1.0,1.0,R0075;R0076;R0079;R0080
original,omitX06,GPT55,C-N,X20,0.0,0.0,0.0,R0083;R0084;R0087;R0088
original,omitX06,GPT55,C-N,X24,0.0,0.0,0.0,R0091;R0092;R0095;R0096
original,omitX06,GPT55,I-N,F01,0.0,0.0,0.0,R0005;R0006;R0007;R0008
original,omitX06,GPT55,I-N,F02,0.0,0.0,0.0,R0013;R0014;R0015;R0016
original,omitX06,GPT55,I-N,F04,0.0,0.5,-0.5,R0021;R0022;R0023;R0024
original,omitX06,GPT55,I-N,F08,0.0,0.0,0.0,R0029;R0030;R0031;R0032
original,omitX06,GPT55,I-N,F17,0.0,0.0,0.0,R0037;R0038;R0039;R0040
original,omitX06,GPT55,I-N,F20,0.0,0.0,0.0,R0045;R0046;R0047;R0048
original,omitX06,GPT55,I-N,X05,0.0,0.0,0.0,R0061;R0062;R0063;R0064
original,omitX06,GPT55,I-N,X11,0.0,0.0,0.0,R0077;R0078;R0079;R0080
original,omitX06,GPT55,I-N,X20,0.0,0.0,0.0,R0085;R0086;R0087;R0088
original,omitX06,GPT55,I-N,X24,0.0,0.0,0.0,R0093;R0094;R0095;R0096
original,omitX06,GPT55,B-C,F01,0.0,0.5,-0.5,R0001;R0002;R0003;R0004
original,omitX06,GPT55,B-C,F02,0.0,0.0,0.0,R0009;R0010;R0011;R0012
