run_id,model,family,condition,valid,functionality,security,termination,patch_exists,patch_bytes
dddd3fb81280fad928176982,GPT55,F01,B,True,True,True,SUCCESS,True,671
04dd6234e96f715e46be8a0a,Spark,X02,I,False,False,False,SUCCESS,True,25871
cafffde87eef32434c60f551,Spark,X05,B,True,True,True,SUCCESS,True,1020
1436d480f7353b811f2241f6,Luna,F17,I,True,True,True,SUCCESS,True,709
3fd87da47fa63ec6d13eab79,Luna,F08,I,True,True,False,SUCCESS,True,369
f0e5b95cf76e5b6c57de864d,Luna,F04,I,True,True,False,SUCCESS,True,435
1c8028543822ef40880d5f36,GPT55,X11,B,True,True,True,SUCCESS,True,1150
4c315b5f90874e27973d2ea7,Spark,F20,C,True,True,False,SUCCESS,True,679
ffc60298bc7e5a4f3eb9aa3d,Luna,F20,N,True,True,False,SUCCESS,True,679
2f11f9fcbad2aa2d048c50f2,Luna,F20,I,True,True,False,SUCCESS,True,679
1623a5b2e2d90147ec42b22a,Spark,X11,N,True,True,True,SUCCESS,True,1067
5a48b06f6aa8c778650ee2c1,Luna,F17,B,False,,,INTERRUPTED,True,769
7d7c12a7333261be33cb3a4f,Spark,F08,B,True,True,False,SUCCESS,True,369
c2c80e049ba9dabc055d89c6,Spark,F17,I,True,True,True,SUCCESS,True,563
b638ef705fa5f1ea933df7de,Spark,F20,B,False,,,INTERRUPTED,True,679
0893c17340f92b6cdb85bd68,Luna,F17,N,False,,,INTERRUPTED,True,0
cf2e49823e6546bfcaf65590,Luna,X06,I,False,,,INTERRUPTED,True,0
8ab4a3030134ae595db8d9e8,GPT55,F20,B,False,,,INTERRUPTED,True,664
4196f36d76fb6f1ad038491c,Spark,X02,B,False,,,INTERRUPTED,True,0
5580d7f0ed934eb29853ba79,GPT55,X28,N,False,True,False,SUCCESS,True,512
24619f03fbcd7fd54ef857c4,Spark,X02,I,False,False,False,SUCCESS,True,9817
06cee2500d24f0e84e3de94b,GPT55,X05,B,True,True,True,SUCCESS,True,1266
75a4934bfe9ef9e4381fb597,Spark,X20,N,True,True,True,SUCCESS,True,1643
8ffc5babf5fed378ff37e6d6,GPT55,X20,I,True,True,True,SUCCESS,True,1719
b25530d90387b0ff6c82c489,GPT55,F17,I,True,True,True,SUCCESS,True,563
8b8db58d0f558744df41dd71,Luna,X05,B,True,True,True,SUCCESS,True,1490
03bcfd693efa3748eb81e71f,Spark,F01,I,True,True,True,SUCCESS,True,698
271683b7a282d9ec1a9a5014,Luna,X28,I,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,0
608398c6d37f46e516e0d3f4,GPT55,X05,I,True,True,True,SUCCESS,True,1217
e197bc750e980538c52bd044,Spark,F01,C,True,True,False,SUCCESS,True,535
90a4e08ac3793d52c8a48430,GPT55,F17,C,True,True,True,SUCCESS,True,556
e83b600e2abde1b605547e2c,GPT55,X05,C,True,True,True,SUCCESS,True,1230
6827660a07b00ec6c3765847,GPT55,X28,C,False,True,False,SUCCESS,True,510
8c00a937f921cc6bc13152ec,Luna,F04,N,True,True,False,SUCCESS,True,435
8dfe5ebf607c6a93fe88298c,Luna,X02,C,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,0
c2d01b2a7d273c844a630f0e,Spark,X11,I,True,True,False,SUCCESS,True,1433
81c25197515e22d5ce8b2a38,Luna,F01,N,True,True,True,SUCCESS,True,675
f15d811b998b9ff14249c38c,Spark,F17,N,True,True,True,SUCCESS,True,539
29a0bc9bf4573a02881cfffb,Spark,F02,N,True,True,False,SUCCESS,True,453
880a2165e540feff2302acfa,Spark,X20,N,True,True,False,SUCCESS,True,1686
efcb679f0bb6ee81ca77d152,GPT55,X05,I,True,True,True,SUCCESS,True,1273
63a09e201c5359fda0c8e1bf,Spark,F02,C,True,True,False,SUCCESS,True,472
572f52f2a1b6c8381f3553a6,GPT55,F04,B,True,True,True,SUCCESS,True,952
38f20ea5183fac8d6f52c95b,Spark,X24,C,True,True,True,SUCCESS,True,1349
9e9f978f114ad5d5832f36d1,Spark,F17,N,True,True,True,SUCCESS,True,584
de317b91b9c25c43989bddf8,Spark,F17,C,True,True,True,SUCCESS,True,571
891b0e811fca4420b6c9498f,GPT55,X24,N,True,True,True,SUCCESS,True,1311
72f1eb2298ba89e87c468d61,Spark,X05,B,True,True,True,SUCCESS,True,981
6ffbec1d96832358a0e9f071,Spark,X11,C,True,True,False,SUCCESS,True,1232
