version,scope,model,contrast,family,F,S,U,records,original_run_ids
original,all13,Luna,B-C,F20,0.0,0.0,0.0,R0145;R0146;R0147;R0148,f3f2427f8a3d0a26f27411ba;f790d4f8082af746e1bb7b68;6d6ac87107f7369dee9a3b4f;9785cd57f0451aca2d54bf67
original,all13,Luna,B-C,X02,-0.5,0.0,0.0,R0153;R0154;R0155;R0156,0fbed357d4a65f10287f1933;2fa4578626aebc4ec3624f60;d6bd51a9fc7f2556ee4b3448;8dfe5ebf607c6a93fe88298c
original,all13,Luna,B-C,X05,0.5,0.0,0.0,R0161;R0162;R0163;R0164,8b8db58d0f558744df41dd71;2a2d4f6bcb98371fb708ab9a;a84e48dc3967e80fd84c8908;5fce44bbdf32effde96ccfc7
original,all13,Luna,B-C,X06,1.0,-0.5,0.5,R0169;R0170;R0171;R0172,bb533a0ca3d9a4ac8b7ee3f1;41b31e8e306569027d682f70;1ab20b33a1403dfe8b53b0f7;7702ca40bdbf807ce155ccbb
original,all13,Luna,B-C,X11,0.0,0.5,-0.5,R0177;R0178;R0179;R0180,aeda47e032710cf852327775;d2af94077df6d94644e5d5a2;8bbc7e525f4ea007647837b6;6048690adc45fa68c0bd8e48
original,all13,Luna,B-C,X20,0.0,0.0,0.0,R0185;R0186;R0187;R0188,e9ac397387c132ff72bec285;019a6605add7afbf33782843;b798dc07320ef4857ecc6556;515f2c81dbd5894ad961216b
original,all13,Luna,B-C,X24,-0.5,0.0,0.0,R0193;R0194;R0195;R0196,849d381fbec6fd6a471c4d38;c792f4eda80f50db431d4f54;89b02f40e7e1c551b2e01fad;91cf30fff79a01f84a7e43dc
original,all13,Luna,C-I,F01,0.0,-1.0,1.0,R0107;R0108;R0109;R0110,1e1ac330571e4ab519d2d06d;85ce1c665275ecc6aee3d88c;749626191b98cd27805f52b0;7bf1a3b8dad2b0465f543282
original,all13,Luna,C-I,F02,0.0,0.0,0.0,R0115;R0116;R0117;R0118,15bdb1ce0e9363f3e77b2443;792bfc0139c3daf285c65304;7f1159c2021751ebb031d62a;bd439ccc02d016d3831e21a4
original,all13,Luna,C-I,F04,0.0,0.0,0.0,R0123;R0124;R0125;R0126,1b8e40cefb62ff78b3a044da;d037c8bc1b9124615516345f;16b578e5aaf05fb79d187fd4;f0e5b95cf76e5b6c57de864d
original,all13,Luna,C-I,F08,0.0,0.0,0.0,R0131;R0132;R0133;R0134,329d297691fa651a363f3aa3;6f77434722612eee739e2bd5;a07d77e712fa9a1038a82fc6;3fd87da47fa63ec6d13eab79
original,all13,Luna,C-I,F17,0.0,0.0,0.0,R0139;R0140;R0141;R0142,ed5ea84d2d032a36c90fd1d5;4ead78b61cb1daaa1b1c3be3;1436d480f7353b811f2241f6;be4596f24720641740331e15
original,all13,Luna,C-I,F20,0.0,0.0,0.0,R0147;R0148;R0149;R0150,6d6ac87107f7369dee9a3b4f;9785cd57f0451aca2d54bf67;2f3aeb2fe45274cc64be4141;2f11f9fcbad2aa2d048c50f2
