model,family,condition,run_ids,same_U,same_F,same_S
Terra,F01,N,2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c,True,True,True
GPT55,X06,I,f4efcee7a2e3d772bea1dfa0;af71f64ad0fc6fbac61bf89a,True,True,True
GPT55,X06,B,d16048f444b04b3ce68c2d87;6f19a40bb04f472e8df11100,True,True,True
GPT55,X11,N,d0d6eec491c1feca2ab34c65;32bedde85d91ce7f02c0e080,True,True,True
GPT55,X11,C,afc514ac8bba0bccf906861f;f92c4a2471e64628da6afc77,True,True,True
GPT55,X11,I,69725139b5576ba7571bbf30;60031b5b8a44b670d6f57b88,True,True,True
GPT55,X11,B,1c8028543822ef40880d5f36;846041505f7a864c203ea1be,True,True,True
GPT55,X20,N,289d603259e3eb9ac47d0355;7918f1606c3c20dfc91bcde6,True,True,True
GPT55,X20,C,169fb58374da74bd21996f4c;b6e466800a7e91b56e7f9be0,True,True,True
GPT55,X20,I,8ffc5babf5fed378ff37e6d6;947d65c50244f47af3c7941f,True,True,True
GPT55,X20,B,458b3e1e2b11bf313b1e3c52;e742b1a2dddf683f05adb1f1,True,True,True
GPT55,X24,N,891b0e811fca4420b6c9498f;82b017ae3c1f587dd27b9910,True,True,True
GPT55,X24,C,fca4138da29e6c5c16b036e6;e479c9f31098126618eda6d8,True,True,True
GPT55,X24,I,f6587a0d3e65abcf820b9b4b;cb5a12b41e0e9da0fd47af34,True,True,True
GPT55,X24,B,940bf15ef254575acdbeba69;6f063bf66b4dec4e96f6ab68,True,True,True
Qwen30,F01,N,3f51799fedde2844fb15ab4d;f00953226de6149658e7c52b,True,True,True
Qwen30,F01,C,2290bc6e34ce00daf09b031c;74be189b34832a40cecd4245,False,True,False
Qwen30,F01,I,6fefe0f5b9537eb0df4c9916;8c81ad64d4c883c19535e694,False,True,False
Qwen30,F01,B,779115323059064bf9fd928a;81ae997f85820e5ea0fce4cc,True,True,True
Qwen30,F02,N,4573c1251bdefc3f2f29c37a;ba53e69cd771509bedc6d063,True,True,True
Qwen30,F02,C,cd74a82221f8f7b4b10b3e52;fb717ed4c33829db1993ba3b,True,True,True
Qwen30,F02,I,144d467a2a0f421b26654467;90b7380027fc077ce9d237f2,True,True,True
Qwen30,F02,B,15fea8f3c1c9c69a3fbc5e60;934c5dbdffcfa4764b70b4e1,True,True,True
Qwen30,F04,N,05c318f93d64dbdda2dc5c91;73cd8aea5b60d2153fcddbae,True,True,True
Qwen30,F04,C,5a8fc2252e5c39c91364970d;e006915791be668b4066b78a,True,True,True
Qwen30,F04,I,3ca7393450e389c40c34bb63;736afe9c892f09623afe656f,True,True,True
Qwen30,F04,B,3bea2eba9a8a5f2656facca1;b8ee9175a37ea069bc6bb739,True,True,True
Qwen30,F08,N,30271a33e51fbb1042eaabfb;d0ffca0ce3d2aaf4d9b5d6ae,True,True,True
Qwen30,F08,C,c8bbb5a0dbd723741445c732;d946fabf476dac45c808a963,False,False,True
Qwen30,F08,I,4d9597559e1fe69786f398b4;5aae6911c91d9155936326c0,True,True,True
Qwen30,F08,B,a4ad86cce9ced413f0245e6a;b4f88b29cb12a33666cf15a9,True,True,True
Qwen30,F17,N,43cd32de5de11022dee1fe3d;e2d2fadb227212468f7a1a0c,True,True,True
Qwen30,F17,C,9559c00a779dc0e6b43b5972;d00774759f1bd82e81d690dc,False,False,True
Qwen30,F17,I,3f4b01f38a8b35b4d07456a9;f6a0af7652810d1c24baeea6,True,True,True
Qwen30,F17,B,b3f8a47b2cf89a66d94385dd;d32e0173e89af99c160ff17a,False,True,False
Qwen30,F20,N,44e964e1955e3adf3503f2ad;9d5b684471a4f505028ca1c1,True,True,True
Qwen30,F20,C,a1e097acd785c25f1d832599;f0d74e6c77753a036cdb1caf,True,True,True
Qwen30,F20,I,23e4c6f4f4240e0ff35bcd56;a221f335b27580bb804fd8ee,True,True,True
Qwen30,F20,B,4d3a1ddc5d645759a791a63d;d7608013f9f3c5cbbca9eabb,True,True,True
Qwen30,X02,N,1cab41f278f9e58a2ce1b163;8e225d651f6f8e2bffc32de7,True,True,False
Qwen30,X02,C,5ba2dca65c5a67b1ac865d83;e59e29fbe4279239758600a3,True,True,True
Qwen30,X05,N,11037cb02741616b9364b01d;a5152e1bd8dfd276763e7614,True,True,True
Qwen30,X05,C,19eeaf7a187048919f379b7c;ce3727262be35f6ef1ab0d56,True,True,True
Qwen30,X05,I,08bc22ab65ba1854f0a77cc2;993d29cd944425752ede87d7,True,True,True
Qwen30,X05,B,065cc0aedb988b8c1fc0563d;8dcdb9662690bc60cbf49590,True,True,True
Qwen30,X06,N,21cdfae19490999e05a05bc8;909e8d04087f37da6c4f79f6,True,True,True
