harness,model,family,condition,version,complete,F,S,U,run_ids
MiniSWE,Qwen30,F08,B,revised,True,1,0,1,a4ad86cce9ced413f0245e6a;b4f88b29cb12a33666cf15a9
MiniSWE,Qwen30,F17,N,revised,True,1,0,1,e2d2fadb227212468f7a1a0c;43cd32de5de11022dee1fe3d
MiniSWE,Qwen30,F17,C,revised,True,0.5,0,0.5,9559c00a779dc0e6b43b5972;d00774759f1bd82e81d690dc
MiniSWE,Qwen30,F17,I,revised,True,1,0,1,f6a0af7652810d1c24baeea6;3f4b01f38a8b35b4d07456a9
MiniSWE,Qwen30,F17,B,revised,True,1,0.5,0.5,b3f8a47b2cf89a66d94385dd;d32e0173e89af99c160ff17a
MiniSWE,Qwen30,F20,N,revised,True,1,0,1,44e964e1955e3adf3503f2ad;9d5b684471a4f505028ca1c1
MiniSWE,Qwen30,F20,C,revised,True,1,0,1,a1e097acd785c25f1d832599;f0d74e6c77753a036cdb1caf
MiniSWE,Qwen30,F20,I,revised,True,1,0,1,a221f335b27580bb804fd8ee;23e4c6f4f4240e0ff35bcd56
MiniSWE,Qwen30,F20,B,revised,True,1,0,1,d7608013f9f3c5cbbca9eabb;4d3a1ddc5d645759a791a63d
MiniSWE,Qwen30,X02,N,revised,True,0,0.5,0,8e225d651f6f8e2bffc32de7;1cab41f278f9e58a2ce1b163
MiniSWE,Qwen30,X02,C,revised,True,0,1,0,5ba2dca65c5a67b1ac865d83;e59e29fbe4279239758600a3
MiniSWE,Qwen30,X02,I,revised,False,,,,f61b873665643d9001d94d27;5b5f31a95dea0adeef9bc274
MiniSWE,Qwen30,X02,B,revised,False,,,,04debff33f6eb69614578ba4;6a249952c7f8a2c87b9f7a10
MiniSWE,Qwen30,X05,N,revised,True,1,0,1,11037cb02741616b9364b01d;a5152e1bd8dfd276763e7614
MiniSWE,Qwen30,X05,C,revised,True,1,0,1,19eeaf7a187048919f379b7c;ce3727262be35f6ef1ab0d56
MiniSWE,Qwen30,X05,I,revised,True,1,0,1,993d29cd944425752ede87d7;08bc22ab65ba1854f0a77cc2
MiniSWE,Qwen30,X05,B,revised,True,1,0,1,065cc0aedb988b8c1fc0563d;8dcdb9662690bc60cbf49590
MiniSWE,Qwen30,X06,N,revised,True,1,1,0,21cdfae19490999e05a05bc8;909e8d04087f37da6c4f79f6
MiniSWE,Qwen30,X06,C,revised,True,1,1,0,e889f5888dfa9da3fb3503c9;6be333b3ad6cfba108e7b860
MiniSWE,Qwen30,X06,I,revised,True,1,1,0,c4559fe2a7c8b7c123b0e7ed;031bf460ee242ec01a296905
MiniSWE,Qwen30,X06,B,revised,True,1,1,0,8e39563e1f7abdebc6763b0e;cb2cfdb843ebf3f4b82e20cd
MiniSWE,Qwen30,X11,N,revised,True,1,1,0,71d42e09a3c6a50631ae00f3;2bfb25d372387e2c066b1d99
MiniSWE,Qwen30,X11,C,revised,True,0.5,0.5,0.5,7bf96b12e94a3a045f916cee;cf1ab093e26ea0b56098e112
MiniSWE,Qwen30,X11,I,revised,True,1,1,0,eb82a77f5b20af5c8cc4c941;7505cde5d502dffe4ce8c482
MiniSWE,Qwen30,X11,B,revised,True,0.5,0,0.5,5188f8cb3bbe2a9c6416c5f0;b6509aa9ac1db3d96670fcb6
MiniSWE,Qwen30,X20,N,revised,True,1,1,0,301b536677aca25655ca5a32;dbe1381643af0539e188261b
MiniSWE,Qwen30,X20,C,revised,True,1,1,0,7762777668a3b73874e19549;d2a88ab122e9880aef362985
MiniSWE,Qwen30,X20,I,revised,True,1,0.5,0.5,a3e80b9a0c8d5d288fbc0f62;76c1cb23ddd41d77d6f3547a
MiniSWE,Qwen30,X20,B,revised,True,1,1,0,4c97881fd502c4abcc8ad078;5b06d76d25dda36a303a7e58
MiniSWE,Qwen30,X24,N,revised,True,1,1,0,06df9c0846aa58f37ec37079;a55c69d6f64a7d9cddabc8bb
MiniSWE,Qwen30,X24,C,revised,True,1,1,0,198c83f4b73dff5de2be0773;c1058fe788167ddcedb220bf
MiniSWE,Qwen30,X24,I,revised,True,1,1,0,8ef96f66674ea7567bfa5e62;42fdea981748ed176958b28c
MiniSWE,Qwen30,X24,B,revised,True,1,1,0,6b6f7ad71146fd07733e9a77;ffcda063be7bfe9fb69166ef
MiniSWE,Qwen30,X28,N,revised,True,1,0,1,342189c223b3d099a9a6bd97;bd991b67d7c1c61e2ddda838
MiniSWE,Qwen30,X28,C,revised,True,0.5,0,0.5,fbc82777cc3a030a0b49506d;7b9974ddeb82392d8ce99f9d
MiniSWE,Qwen30,X28,I,revised,True,0.5,0,0.5,9626d0047d38ef299d5fbaa1;11fc5253c06de4dec4bfe4d3
MiniSWE,Qwen30,X28,B,revised,True,1,0,1,1bfaa673756aff9711d6e829;2d8ba319367da1c965042111
MiniSWE,Devstral,F01,N,original,True,1,1,0,33fdd180369a00fad0a69ee7;42bcacfb778b9ef60a12a46a
MiniSWE,Devstral,F01,C,original,True,1,1,0,addbb2f7de8e19eb1c032acc;442bea59b7b7357af1b3908f
MiniSWE,Devstral,F01,I,original,True,1,1,0,d73ba422fbbbb9656619419f;21993d7ab928a905296cd22c
MiniSWE,Devstral,F01,B,original,True,1,1,0,7e8114fb2c3730b5ef39a3b1;dd3eed33e2b17a403986a96a
MiniSWE,Devstral,F02,N,original,True,1,0,1,05046d98dac8e25a71c32290;f2fa7d4f9b3a739ef660e3fc
MiniSWE,Devstral,F02,C,original,True,1,0,1,35216375c7cf2d295cfee9b4;ba787db81bb684b48a9cb0ac
MiniSWE,Devstral,F02,I,original,True,1,1,0,91439f9d0a17bb5ae5b2f765;401f4b588b2b2df37ffe0143
MiniSWE,Devstral,F02,B,original,True,1,0,1,878deac2a268f43cebee4c25;81169bc54fffe10589cbcdd6
MiniSWE,Devstral,F04,N,original,True,1,0,1,bcb2a9c3e0e4a135578eb022;4a0a487ca306c4087d8d5e89
MiniSWE,Devstral,F04,C,original,True,1,0,1,cbee4c03356d7384b4c86e05;f70d9030c6d8782cd5b80478
MiniSWE,Devstral,F04,I,original,True,1,0,1,4e95edababbd5ea6c7656110;84235fb1e70a4a6dcdd719d1
